City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Tessalit,ML,20.1986,1.0114,100.24,18,64,10.16,broken clouds
298,Jasper,US,37.2001,-94.3502,59.45,68,0,8.05,clear sky
299,Norman Wells,CA,65.282,-126.8329,42.84,93,75,6.91,broken clouds
300,Narsaq,GL,60.9167,-46.05,37.62,87,100,3.76,light rain
301,Vallenar,CL,-28.5708,-70.7581,67.73,48,0,3.87,clear sky
302,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,8.05,broken clouds
303,Qaqortoq,GL,60.7167,-46.0333,41.68,73,100,5.84,light rain
304,Jalu,LY,29.0331,21.5482,105.01,11,0,13.15,clear sky
305,Oyotun,PE,-6.8519,-79.3036,75.24,60,65,5.99,broken clouds
306,Noumea,NC,-22.2763,166.4572,60.78,75,100,7.05,overcast clouds
307,Simpang,ID,-1.2667,104.0833,77.61,84,100,2.62,overcast clouds
308,La Ronge,CA,55.1001,-105.2842,46.65,87,20,9.22,few clouds
309,Namie,JP,37.4833,141.0,62.71,94,0,5.06,clear sky
310,Sola,VU,-13.8833,167.55,79.7,78,11,7.9,few clouds
311,Ilembo,TZ,-9.25,33.3833,72.0,36,7,10.78,clear sky
312,Waingapu,ID,-9.6567,120.2641,80.85,79,66,1.36,broken clouds
313,Cockburn Town,TC,21.4612,-71.1419,82.71,73,60,16.69,broken clouds
314,Biak,ID,-0.9131,122.8766,77.05,84,13,1.92,few clouds
315,Rio Gallegos,AR,-51.6226,-69.2181,48.25,31,20,25.32,few clouds
316,Arica,CL,-18.475,-70.3042,61.03,67,0,8.05,clear sky
317,Leningradskiy,RU,69.3833,178.4167,27.16,85,100,8.97,overcast clouds
318,Bacolod,PH,10.6667,122.95,78.98,84,81,9.33,broken clouds
319,Manokwari,ID,-0.8667,134.0833,79.3,76,66,0.72,broken clouds
320,Tambura,SS,5.6,27.4667,80.76,69,90,0.89,overcast clouds
321,Payo,ID,-3.7508,103.6372,73.81,97,99,2.26,moderate rain
322,Shangqiu,CN,34.45,115.65,75.42,83,89,4.97,overcast clouds
323,Beringovskiy,RU,63.05,179.3167,40.55,89,100,29.26,overcast clouds
324,Torbay,CA,47.6666,-52.7314,61.29,71,20,24.16,few clouds
325,Saint-Augustin,CA,51.226,-58.6502,48.97,45,71,15.52,broken clouds
326,Medea,DZ,36.2642,2.7539,69.62,35,3,5.61,clear sky
327,Poronaysk,RU,49.2167,143.1167,40.62,83,39,8.39,scattered clouds
328,Birjand,IR,32.8663,59.2211,81.07,11,0,6.91,clear sky
329,Yantzaza,EC,-3.8278,-78.7594,71.15,85,87,2.1,light rain
330,Boone,US,39.0334,-92.3335,56.25,43,0,6.53,clear sky
331,Saldanha,ZA,-33.0117,17.9442,68.05,70,100,19.42,overcast clouds
332,Urumqi,CN,43.801,87.6005,36.55,70,0,0.0,clear sky
333,Meadow Lake,US,34.8014,-106.5436,65.68,48,1,4.38,clear sky
334,Coahuayana,MX,18.7333,-103.6833,76.84,79,75,3.44,broken clouds
335,Portland,US,45.5234,-122.6762,63.28,90,20,4.61,few clouds
336,Monroe,US,43.1501,-77.6831,55.58,91,100,0.0,overcast clouds
337,Belyy Yar,RU,53.6039,91.3903,31.89,64,0,6.71,clear sky
338,Nefteyugansk,RU,61.0998,72.6035,31.41,66,51,8.28,broken clouds
339,Kyaikto,MM,17.3,97.0167,77.05,92,100,3.62,moderate rain
340,Nautla,MX,20.2167,-96.7833,72.82,76,11,6.2,few clouds
341,Fayaoue,NC,-20.65,166.5333,74.86,81,66,9.93,broken clouds
342,Twentynine Palms,US,34.1356,-116.0542,74.25,37,0,2.3,clear sky
